TPSA MW FC BJ
55.40 323.44 0.2000 2.4006
39.94 267.33 0.2500 2.2855
86.48 367.40 0.2500 1.5147
49.41 368.28 0.4667 2.0153
63.04 298.37 0.2667 1.8066
64.11 345.45 0.1875 1.5513
67.60 365.38 0.4444 1.4652
59.31 370.50 0.5500 1.6275
39.44 280.32 0.1667 1.8988
49.41 360.82 0.2632 1.5303
72.68 264.28 0.4615 1.8383
69.64 380.54 0.4444 1.6271
95.06 369.45 0.1667 1.6468
50.16 330.41 0.4444 1.4803
84.78 377.40 0.2857 1.3602
51.22 360.44 0.0476 1.5811
80.05 438.51 0.0400 1.3682
75.36 278.69 0.2308 1.8668
52.15 383.50 0.1600 1.5255
67.77 380.55 0.1429 1.5471
23.55 268.36 0.3529 1.7853
57.61 281.74 0.4286 1.7829
118.71 362.34 0.1000 2.0472
51.02 330.46 0.4706 1.6846
49.85 354.45 0.5238 1.6345
123.79 465.33 0.0476 2.0016
70.32 373.38 0.0435 1.7880
55.84 492.78 0.1429 1.8292
48.67 332.36 0.0952 2.0001
71.41 443.98 0.4583 1.7837
83.94 335.43 0.5333 1.8473
70.16 489.62 0.4828 1.3148
29.10 273.76 0.1875 1.9852
81.24 478.52 0.3846 1.3389
103.71 466.54 0.4000 1.6826
47.56 255.70 0.4167 2.1090
34.14 270.35 0.1250 2.1197
64.40 292.72 0.1429 1.9065
32.34 280.80 0.5333 1.8692
88.18 451.52 0.4000 1.2669
49.33 430.56 0.0870 1.5468
23.55 326.48 0.6667 1.8128
93.70 477.56 0.4615 1.4262
41.15 299.42 0.3889 2.1518
72.47 297.31 0.1176 2.0038
107.77 336.32 0.1429 1.7625
42.23 275.32 0.3125 2.3236
55.20 257.29 0.3571 2.2031
80.14 311.34 0.1765 2.0238
112.07 329.36 0.4375 1.5252
55.40 321.44 0.6471 1.8397
93.50 457.25 0.0667 2.1107
54.71 356.47 0.4762 1.3464
123.71 491.89 0.0400 1.4839
35.58 345.46 0.5500 1.5315
126.51 424.44 0.0500 1.6341
28.60 425.59 0.5769 1.4582
84.63 389.46 0.3333 1.3821
33.95 374.51 0.1818 1.5523
24.94 376.50 0.3333 1.3717
48.67 328.34 0.2105 1.8867
55.84 435.37 0.1818 2.2078
108.31 348.37 0.1111 1.5930
52.65 357.84 0.2632 1.7679
67.87 444.94 0.2273 2.0143
59.31 279.30 0.0588 1.9768
109.58 496.37 0.2381 1.6710
64.94 189.22 0.2000 2.5669
63.45 316.74 0.1875 1.9266
87.74 385.39 0.2500 1.7184
52.57 345.49 0.7368 1.6862
54.34 373.87 0.1667 2.0639
53.76 466.97 0.0870 1.5421
73.82 438.50 0.4167 1.6550
89.31 358.35 0.0476 1.9042
47.73 326.40 0.4211 1.5633
67.59 275.31 0.4286 1.8702
109.62 367.36 0.1333 2.1885
68.02 405.88 0.1739 1.4163
85.99 337.21 0.0667 1.9640
49.33 316.20 0.0000 2.3908
85.17 444.90 0.3333 1.4086
32.78 304.43 0.6111 1.9637
66.48 390.53 0.3158 1.5641
70.82 426.49 0.3684 1.8266
72.24 332.36 0.0500 1.7808
87.57 421.27 0.1765 1.8833
93.78 483.95 0.3200 1.6675
60.25 336.39 0.2105 1.9546
68.82 374.46 0.2632 2.1549
76.19 331.42 0.5882 1.6032
77.52 320.37 0.2667 1.9336
62.30 413.52 0.2692 1.2814
43.09 363.55 0.8095 1.5567
94.19 371.41 0.3500 1.9745
44.37 367.52 0.3333 1.6898
38.67 267.72 0.0000 2.2126
70.93 436.31 0.1818 2.1410
55.40 412.34 0.3684 1.9823
70.29 291.36 0.3529 1.7930
58.20 422.27 0.2222 2.1895
58.53 445.32 0.1250 1.5996
66.48 248.21 0.0833 2.3666
29.10 259.25 0.0000 2.0352
81.06 387.50 0.5000 1.6217
77.98 317.35 0.0000 2.0787
62.83 316.79 0.2500 1.7787
123.93 267.24 0.2500 2.5763
72.70 351.50 0.6000 1.5678
38.13 431.28 0.1579 1.9875
77.75 476.84 0.1364 1.7918
47.78 359.45 0.0952 1.5927
75.71 348.42 0.2353 2.1524
68.46 355.37 0.2105 1.6367
73.82 460.58 0.4815 1.2752
50.95 337.28 0.1250 1.8840
67.43 416.52 0.2308 1.5393
54.26 329.38 0.4706 1.4193
41.99 290.37 0.1579 1.8660
63.69 377.44 0.4444 1.7540
23.55 328.84 0.3158 1.5677
65.74 425.24 0.2000 1.9504
91.58 417.26 0.1579 2.2581
37.81 285.35 0.0667 1.8373
55.13 372.45 0.1111 1.5122
78.87 356.42 0.3000 2.1565
57.78 316.16 0.0000 1.8873
49.41 348.45 0.3636 1.6814
88.84 289.36 0.2143 2.2287
65.38 341.41 0.4737 1.3448
95.22 402.36 0.1579 1.7976
33.20 316.40 0.2381 1.9102
85.37 370.43 0.1667 1.5572
37.38 335.84 0.0667 1.9386
81.42 254.31 0.2727 2.4717
68.44 388.47 0.3043 1.8624
83.56 339.42 0.1765 1.5876
52.98 443.98 0.1905 1.9279
74.08 372.23 0.1429 2.1881
70.08 440.51 0.3600 1.9805
83.98 452.53 0.1111 1.4026
124.01 444.44 0.1200 1.6812
49.85 344.45 0.6000 1.3547
80.52 444.18 0.0000 1.9881
69.97 366.44 0.0500 2.1118
109.58 354.44 0.1765 1.7426
62.99 402.54 0.5909 1.6320
85.09 281.34 0.5000 1.9262
